Matched name	Primary name	Type	Identifier	Peaktime	rank	Phenotypes
ZWINT	ZWINT	Homo sapiens gene	ENSP00000363055	G2	320
THBS1	THBS1	Homo sapiens gene	ENSP00000260356	non-periodic	321	
CREBZF	CREBZF	Homo sapiens gene	ENSP00000433459	G1/S	322	
INPP5K	INPP5K	Homo sapiens gene	ENSP00000413937	M	323	
FOPNL	FOPNL	Homo sapiens gene	ENSP00000255759	M	324	
SRSF3	SRSF3	Homo sapiens gene	ENSP00000362820	G2/M	325	G1
C9orf78	C9orf78	Homo sapiens gene	ENSP00000361524	non-periodic	326	
CDH24	CDH24	Homo sapiens gene	ENSP00000267383	S	327	
LARP1	LARP1	Homo sapiens gene	ENSP00000336721	G1	328	
GSE1	GSE1	Homo sapiens gene	ENSP00000253458	G1	329	
MLF1IP	MLF1IP	Homo sapiens gene	ENSP00000281453	S	330	
UBE2D3	UBE2D3	Homo sapiens gene	ENSP00000349722	G1	331	
RAN	RAN	Homo sapiens gene	ENSP00000376176	M	332	S
SKA3	SKA3	Homo sapiens gene	ENSP00000319417	G2	333	
SPDL1	SPDL1	Homo sapiens gene	ENSP00000265295	G2/M	334	
ZCCHC14	ZCCHC14	Homo sapiens gene	ENSP00000268616	G1	335	
ENSG00000203691	ENSG00000203691	Homo sapiens gene	ENSP00000355810	M	336	
NFE2L2	NFE2L2	Homo sapiens gene	ENSP00000380252	G2	337	
RFC2	RFC2	Homo sapiens gene	ENSP00000055077	S	338	
RAD54L	RAD54L	Homo sapiens gene	ENSP00000361043	S	339	
C11orf82	C11orf82	Homo sapiens gene	ENSP00000414687	G2	340
MAFF	MAFF	Homo sapiens gene	ENSP00000345393	non-periodic	341	
SLC25A29	SLC25A29	Homo sapiens gene	ENSP00000352167	G1/S	342	
YWHAH	YWHAH	Homo sapiens gene	ENSP00000248975	M	343	
NR4A1	NR4A1	Homo sapiens gene	ENSP00000353427	non-periodic	344	
PCSK6	PCSK6	Homo sapiens gene	ENSP00000305056	G1/S	345	
ACTR2	ACTR2	Homo sapiens gene	ENSP00000367220	S	346	
RBBP8	RBBP8	Homo sapiens gene	ENSP00000323050	G1/S	347	
NR2F6	NR2F6	Homo sapiens gene	ENSP00000291442	G1	348	
NDE1	NDE1	Homo sapiens gene	ENSP00000345892	M	349	G1
FAM84B	FAM84B	Homo sapiens gene	ENSP00000302578	G1	350	
MASTL	MASTL	Homo sapiens gene	ENSP00000365107	S	351	
ARL4A	ARL4A	Homo sapiens gene	ENSP00000349250	G2	352	
YEATS4	YEATS4	Homo sapiens gene	ENSP00000247843	G2	353	
INTS8	INTS8	Homo sapiens gene	ENSP00000430338	G1	354	G1
CCNE2	CCNE2	Homo sapiens gene	ENSP00000309181	G1	355	
CD97	CD97	Homo sapiens gene	ENSP00000242786	M	356	
